Outlaw_110 {x : 303, y : 430} | killed by | Orc_101 {x : 294, y : 416}
Outlaw_176 {x : 287, y : 455} | killed by | Orc_101 {x : 294, y : 416}
Werewolf_157 {x : 488, y : 415} | killed by | Outlaw_102 {x : 493, y : 387}
Outlaw_100 {x : 387, y : 384} | killed by | Orc_103 {x : 363, y : 422}
Outlaw_132 {x : 87, y : 227} | killed by | Werewolf_104 {x : 60, y : 191}
Werewolf_130 {x : 61, y : 433} | killed by | Outlaw_105 {x : 41, y : 427}
Werewolf_160 {x : 52, y : 433} | killed by | Outlaw_105 {x : 41, y : 427}
Werewolf_166 {x : 30, y : 429} | killed by | Outlaw_105 {x : 41, y : 427}
Werewolf_117 {x : 92, y : 27} | killed by | Outlaw_111 {x : 70, y : 59}
Werewolf_124 {x : 46, y : 83} | killed by | Outlaw_111 {x : 70, y : 59}
Werewolf_177 {x : 43, y : 83} | killed by | Outlaw_111 {x : 70, y : 59}
Outlaw_102 {x : 493, y : 387} | killed by | Orc_112 {x : 457, y : 394}
Outlaw_171 {x : 418, y : 418} | killed by | Orc_112 {x : 457, y : 394}
Outlaw_196 {x : 497, y : 400} | killed by | Orc_112 {x : 457, y : 394}
Werewolf_115 {x : 199, y : 38} | killed by | Outlaw_113 {x : 230, y : 43}
Outlaw_144 {x : 354, y : 498} | killed by | Werewolf_118 {x : 374, y : 457}
Outlaw_138 {x : 442, y : 287} | killed by | Werewolf_120 {x : 426, y : 306}
Outlaw_172 {x : 244, y : 325} | killed by | Orc_122 {x : 230, y : 347}
Outlaw_113 {x : 230, y : 43} | killed by | Orc_126 {x : 251, y : 44}
Outlaw_156 {x : 265, y : 35} | killed by | Orc_126 {x : 251, y : 44}
Outlaw_197 {x : 314, y : 274} | killed by | Werewolf_137 {x : 302, y : 257}
Outlaw_105 {x : 41, y : 427} | killed by | Orc_143 {x : 68, y : 428}
Outlaw_192 {x : 72, y : 469} | killed by | Orc_143 {x : 68, y : 428}
Outlaw_199 {x : 85, y : 467} | killed by | Orc_143 {x : 68, y : 428}
Outlaw_150 {x : 150, y : 341} | killed by | Orc_155 {x : 194, y : 351}
Outlaw_186 {x : 127, y : 445} | killed by | Werewolf_162 {x : 122, y : 475}
Outlaw_107 {x : 68, y : 369} | killed by | Orc_163 {x : 30, y : 396}
Werewolf_195 {x : 200, y : 164} | killed by | Outlaw_170 {x : 189, y : 129}
Outlaw_128 {x : 85, y : 289} | killed by | Orc_183 {x : 106, y : 311}
Outlaw_140 {x : 230, y : 441} | killed by | Orc_187 {x : 209, y : 466}
Outlaw_142 {x : 176, y : 482} | killed by | Orc_187 {x : 209, y : 466}
Outlaw_178 {x : 8, y : 198} | killed by | Werewolf_104 {x : 60, y : 191}
Outlaw_170 {x : 189, y : 129} | killed by | Werewolf_106 {x : 237, y : 173}
Outlaw_111 {x : 70, y : 59} | killed by | Orc_109 {x : 68, y : 124}
Werewolf_149 {x : 209, y : 369} | killed by | Outlaw_123 {x : 125, y : 358}
Outlaw_123 {x : 125, y : 358} | killed by | Orc_143 {x : 68, y : 428}
Outlaw_165 {x : 144, y : 429} | killed by | Orc_143 {x : 68, y : 428}
Werewolf_175 {x : 6, y : 91} | killed by | Outlaw_148 {x : 20, y : 4}
Werewolf_190 {x : 37, y : 101} | killed by | Outlaw_148 {x : 20, y : 4}
Outlaw_148 {x : 20, y : 4} | killed by | Orc_109 {x : 68, y : 124}
